Core,Latitude,Longitude,Water depth (m),Annual Averaged SST,A-M-J,J-F-M,J-A-S,O-N-D,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber (pink),Globigerinoides ruber (white),Globigerinoides ruber total,Globoturborotalita tenella,Globigerinoides sacculifer w/o sac,Globigerinoides sacculifer with sac,Globigerinoides sacc total,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera (=aequilateralis),Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides L,Globorotalia truncatulinoides R,Globorotalia truncatulinoides total,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Globorotalia menardii + tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Berggrenia pumilio + T. humilis,Globigerinita uvula,Other ID,Other UnID,Total Planktics
DWD-48BG,-37.08,-137,4940,16.225,17.0019,18.7477,14.2095,14.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,50,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
DWD-49BG,-38.85,-135.5,5060,15.0777,15.651,17.764,12.8474,14.0484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,59,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,100
DWD-54HG,-38.82,-83.35,4080,14.9087,15.4044,17.9008,12.4356,13.8938,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,1,0,46,0,0,0,20,0,13,13,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,103
DWD-56BG,-42.27,-125.83,4650,12.4305,12.7705,15.0541,10.3424,11.555,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,10,0,1,0,0,0,28,0,22,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,102
DWD-56HG,-37.05,-81.83,3994,15.8795,16.6654,18.7736,13.1488,14.9302,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,1,0,0,0,65,0,0,0,12,0,12,12,2,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,101
DWD-58BG,-43.12,-125.38,4640,11.7116,11.974,14.2439,9.80298,10.8258,1,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,1,0,3,0,1,0,0,0,28,0,28,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,102
DWD-59BG,-44.38,-124.65,4500,10.8335,10.9506,13.0879,9.04744,10.2481,2,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,0,3,1,15,0,0,0,0,0,20,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,100
DWD-60BG,-45.45,-124.02,4040,10.1,10.3519,12.2007,8.41056,9.43669,2,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1,0,1,3,19,0,0,0,0,0,16,0,11,11,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,102
DWD-61BG,-46.8,-123.02,4250,9.19964,9.25205,11.1622,7.72283,8.66144,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,0,1,3,26,0,1,0,0,0,13,0,7,7,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,103
DWD-62BG,-47.62,-121.03,3800,8.82938,8.79703,10.7331,7.37267,8.41465,1,0,0,0,0,0,0,0,0,0,0,1,0,54,0,1,0,1,4,17,0,0,0,0,0,12,0,6,6,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,101
DWD-63BG,-47.83,-120.53,3830,8.76596,8.73072,10.6368,7.31115,8.38507,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,8,55,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,100
DWD-64BG,-46.72,-118.33,3480,9.24835,9.46789,11.1359,7.58961,8.79987,1,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,7,31,0,1,0,0,0,10,0,4,4,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,0,0,102
DWD-68BG,-48.47,-114.3,2820,8.52605,8.62299,10.2477,7.05141,8.18214,1,0,0,0,0,0,0,0,0,0,0,0,0,27,1,1,0,1,14,28,0,0,0,0,0,12,0,5,5,0,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,0,102
DWD-70BG,-48.48,-113.28,2580,8.64445,8.82833,10.3593,7.1394,8.2509,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,1,0,0,11,29,0,1,0,0,0,15,0,6,6,0,0,0,1,0,0,0,0,0,0,10,0,1,0,0,0,0,103
DWD-71BG,-46.6,-113.57,2790,9.41516,9.81353,11.0006,8.00774,8.83865,3,0,0,0,0,0,0,0,0,0,0,0,0,29,1,1,0,1,19,21,0,1,0,0,0,10,0,4,4,1,0,0,1,0,0,0,0,0,0,10,0,1,1,0,0,0,103
DWD-73BG,-43.8,-108.15,3080,11.4614,11.766,13.9221,9.58721,10.5702,14,0,0,0,0,0,0,0,0,0,0,0,0,20,6,1,0,5,18,8,0,0,0,0,0,10,0,4,4,1,0,0,1,0,0,0,0,0,0,10,0,1,5,0,0,0,99
DWD-74BG,-43.72,-107.6,3220,11.5312,11.8668,14.0562,9.62377,10.578,5,0,0,0,0,0,0,0,0,0,0,1,0,37,3,0,0,1,11,19,0,0,0,1,0,7,0,7,7,1,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0,0,100
DWD-75BG,-43.55,-108.3,3650,11.6261,11.9654,14.0561,9.76531,10.7178,7,0,0,0,0,0,0,0,0,0,0,1,0,26,1,1,0,4,6,16,0,1,0,1,0,20,0,7,7,1,0,0,1,0,0,0,0,0,0,7,0,0,4,0,0,0,100
DWD-76BG,-43.75,-104.47,3840,11.3327,11.8819,13.825,9.36361,10.2602,11,0,0,0,0,0,0,0,0,0,0,1,0,32,3,1,0,8,4,12,0,1,0,1,0,14,0,7,7,0,0,0,1,0,1,0,0,1,0,3,0,1,8,0,0,0,101
DWD-77BG,-44.15,-101.58,3820,11.0771,11.5556,13.5674,9.03948,10.1459,4,0,0,0,0,0,0,0,0,0,0,1,0,42,1,1,0,1,9,16,0,1,0,1,0,10,0,7,7,1,0,0,1,0,0,0,0,0,0,6,0,1,1,0,0,0,103
DWD-78BG,-44.13,-100.97,4100,11.0076,11.4626,13.3988,9.00723,10.1619,4,0,0,0,0,1,0,0,0,0,0,0,0,57,1,1,0,1,3,11,0,1,0,0,0,5,0,13,13,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,103
DWD-79BG,-44.1,-100.07,3940,10.892,11.314,13.2239,8.9396,10.0906,3,0,0,0,0,0,0,0,0,0,0,1,0,39,2,1,0,2,4,24,0,1,0,0,0,12,0,7,7,0,0,0,1,0,0,0,0,0,0,5,0,1,2,0,0,0,103
DWD-83BG,-44.07,-95.7,4660,10.796,11.1588,13.1117,8.97788,9.93537,1,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,0,1,6,15,0,0,0,1,0,3,0,10,10,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,103
DWD-93BG,-23.47,-72.97,3850,18.4122,18.8103,21.8613,15.5288,17.4485,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,85,0,0,0,1,0,0,0,1,0,0,0,0,10,1,0,11,0,1,0,0,0,0,0,0,103
E44-27,-53.03,119.73,3508,4.2149,4.32696,5.45586,3.3136,3.76163,0,0,0,0,0,0,0,0,0,0,0,0,0,27.21,0,0,0,0,0.49,56.86,0.74,0,0,0,0,11.03,0.49,0,0.49,0.25,0,0,0,0,0,0,0,0,0,2.21,0,0,0,0,0,0.74,100
E45-29,-44.88,106.52,3863,10.4656,10.5227,11.2439,9.88092,10.2149,3.72,0,0,0,0,0,0,0,0,0,0,0,0,30.35,5.59,0,0,0,1.86,6.89,16.57,0,0,0,0,19.37,8.01,0.19,8.19,0.37,0,0,0,0,0,0,0,0,0,5.59,0,0,0,0,0,1.49,100
